ROWID,Country,State,District,Year,Class,Schools_Surveyed,Students_Surveyed,AVG_L813,AVG_M601,AVG_SCI703,AVG_SST605,AVG_M801,AVG_SCI801,AVG_SST704
361,India,Uttar Pradesh,Hathras,"Calendar Year (Jan - Dec), 2021",8,296.0,7308.0,46.79,46.69,32.64,34.03,31.29,38.04,35.93
362,India,Uttar Pradesh,Maharajganj,"Calendar Year (Jan - Dec), 2017",8,204.0,4048.0,37.6,28.88,31.97,14.43,20.59,36.81,24.71
363,India,Uttar Pradesh,Maharajganj,"Calendar Year (Jan - Dec), 2021",8,300.0,7292.0,42.07,44.3,31.63,32.0,26.83,37.65,38.46
364,India,Uttar Pradesh,Mahoba,"Calendar Year (Jan - Dec), 2017",8,204.0,4360.0,48.4,42.14,36.3,39.82,27.17,46.83,31.13
365,India,Uttar Pradesh,Mahoba,"Calendar Year (Jan - Dec), 2021",8,272.0,6796.0,50.61,56.8,34.99,37.79,34.75,41.58,39.82
366,India,Uttar Pradesh,Mainpuri,"Calendar Year (Jan - Dec), 2017",8,196.0,2020.0,61.48,43.90917424605601,49.11,50.3,34.26,55.05,33.86
367,India,Uttar Pradesh,Mainpuri,"Calendar Year (Jan - Dec), 2021",8,316.0,7616.0,42.33,40.0,29.55,32.86,27.12,33.67,32.1
368,India,Uttar Pradesh,Mathura,"Calendar Year (Jan - Dec), 2017",8,204.0,3604.0,61.44,46.62,45.66,52.16,33.94,53.88,49.32
369,India,Uttar Pradesh,Mathura,"Calendar Year (Jan - Dec), 2021",8,320.0,7840.0,54.25,54.64,37.54,43.15,35.02,45.65,46.06
370,India,Uttar Pradesh,Mau,"Calendar Year (Jan - Dec), 2017",8,196.0,4780.0,43.42,41.2,32.83,40.67,24.11,38.02,32.72
371,India,Uttar Pradesh,Mau,"Calendar Year (Jan - Dec), 2021",8,228.0,5832.0,48.48,55.81,39.51,43.2,36.1,48.4,42.64
372,India,Uttar Pradesh,Meerut,"Calendar Year (Jan - Dec), 2017",8,196.0,4016.0,55.21,42.09,40.6,45.32,26.91,51.24,36.95
373,India,Uttar Pradesh,Meerut,"Calendar Year (Jan - Dec), 2021",8,324.0,7788.0,50.83,42.55,35.09,33.67,32.07,42.95,42.47
374,India,Uttar Pradesh,Mirzapur,"Calendar Year (Jan - Dec), 2017",8,204.0,4836.0,30.76,28.85,17.58,50.54,19.43,26.65,34.63
375,India,Uttar Pradesh,Mirzapur,"Calendar Year (Jan - Dec), 2021",8,284.0,7544.0,47.64,49.07,35.71,37.89,32.23,41.5,40.51
376,India,Uttar Pradesh,Moradabad,"Calendar Year (Jan - Dec), 2017",8,204.0,1188.0,45.86,41.27,38.27,39.39,25.0,36.44,35.19
377,India,Uttar Pradesh,Moradabad,"Calendar Year (Jan - Dec), 2021",8,296.0,7608.0,44.13,42.24,34.01,34.5,30.07,35.89,39.25
378,India,Uttar Pradesh,Muzaffarnagar,"Calendar Year (Jan - Dec), 2017",8,200.0,2552.0,50.0,39.27,36.22,42.79,24.1,50.15,37.13
379,India,Uttar Pradesh,Muzaffarnagar,"Calendar Year (Jan - Dec), 2021",8,300.0,7792.0,47.28,44.16,33.27,33.56,28.94,40.59,37.67
380,India,Uttar Pradesh,Pilibhit,"Calendar Year (Jan - Dec), 2017",8,192.0,3272.0,60.73,42.6,49.09,46.21,30.87,57.9,37.47
381,India,Uttar Pradesh,Pilibhit,"Calendar Year (Jan - Dec), 2021",8,284.0,6924.0,42.13,41.58,31.29,31.86,28.26,32.15,29.21
382,India,Uttar Pradesh,Pratapgarh,"Calendar Year (Jan - Dec), 2017",8,124.0,1560.0,57.85,46.38,45.1,53.08,28.04,50.0,38.94
383,India,Uttar Pradesh,Pratapgarh,"Calendar Year (Jan - Dec), 2021",8,260.0,6104.0,40.96,47.48,29.08,30.73,27.38,34.39,38.55
384,India,Uttar Pradesh,Rae Bareli,"Calendar Year (Jan - Dec), 2017",8,200.0,3800.0,55.78,40.96,44.79,56.53,31.13,54.18,36.89
385,India,Uttar Pradesh,Rae Bareli,"Calendar Year (Jan - Dec), 2021",8,296.0,8076.0,48.7,53.73,37.38,36.04,32.09,41.79,41.29
386,India,Uttar Pradesh,Rampur,"Calendar Year (Jan - Dec), 2017",8,196.0,3768.0,48.67,36.7,40.5,38.54,32.39,46.91,26.26
387,India,Uttar Pradesh,Rampur,"Calendar Year (Jan - Dec), 2021",8,300.0,7068.0,44.01,42.61,31.83,32.48,30.35,34.51,37.23
388,India,Uttar Pradesh,Saharanpur,"Calendar Year (Jan - Dec), 2017",8,188.0,1736.0,49.75,35.08,39.74,53.23,25.27,47.63,46.77
389,India,Uttar Pradesh,Saharanpur,"Calendar Year (Jan - Dec), 2021",8,304.0,7196.0,48.33,46.56,31.43,37.9,32.43,38.92,41.36
390,India,Uttar Pradesh,Sant Kabeer Nagar,"Calendar Year (Jan - Dec), 2017",8,204.0,4512.0,53.84,37.63,32.7,30.59,29.89,38.58,29.0
391,India,Uttar Pradesh,Sant Kabeer Nagar,"Calendar Year (Jan - Dec), 2021",8,288.0,7396.0,43.81,48.22,32.92,40.79,30.81,40.7,44.95
392,India,Uttar Pradesh,Bhadohi,"Calendar Year (Jan - Dec), 2017",8,192.0,4476.0,61.19,42.78,51.39,55.59,42.47,59.96,37.39
393,India,Uttar Pradesh,Bhadohi,"Calendar Year (Jan - Dec), 2021",8,276.0,7304.0,48.29,45.06,32.52,38.09,31.18,40.83,43.21
394,India,Uttar Pradesh,Shahjahanpur,"Calendar Year (Jan - Dec), 2017",8,204.0,3336.0,53.65,42.91,39.2,44.6,36.81,47.57,33.44
395,India,Uttar Pradesh,Shahjahanpur,"Calendar Year (Jan - Dec), 2021",8,288.0,7140.0,44.1,46.56,34.92,35.46,30.73,36.38,38.95
396,India,Uttar Pradesh,Shravasti,"Calendar Year (Jan - Dec), 2017",8,180.0,2780.0,48.37,37.46,27.52,28.78,29.12,46.19,21.76
397,India,Uttar Pradesh,Shravasti,"Calendar Year (Jan - Dec), 2021",8,276.0,6848.0,45.43,53.72,36.26,41.67,28.63,36.58,39.25
398,India,Uttar Pradesh,Siddharth Nagar,"Calendar Year (Jan - Dec), 2017",8,200.0,4020.0,55.85,43.62,39.5,47.96,36.99,51.09,34.68
399,India,Uttar Pradesh,Siddharth Nagar,"Calendar Year (Jan - Dec), 2021",8,292.0,7560.0,52.38,63.68,39.19,50.2,41.84,47.91,47.18
400,India,Uttar Pradesh,Sitapur,"Calendar Year (Jan - Dec), 2017",8,196.0,3572.0,48.45,36.77,34.88,44.34,23.27,38.54,31.77
401,India,Uttar Pradesh,Sitapur,"Calendar Year (Jan - Dec), 2021",8,288.0,7928.0,43.5,44.34,32.28,34.77,29.49,35.3,38.28
402,India,Uttar Pradesh,Sonbhadra,"Calendar Year (Jan - Dec), 2017",8,204.0,3800.0,51.06,31.35,41.75,37.05,30.61,46.61,37.73
403,India,Uttar Pradesh,Sonbhadra,"Calendar Year (Jan - Dec), 2021",8,256.0,6784.0,48.02,55.98,37.0,42.39,34.02,39.56,48.62
404,India,Uttar Pradesh,Sultanpur,"Calendar Year (Jan - Dec), 2017",8,204.0,4432.0,57.48,44.33,44.97,49.64,35.33,59.41,46.54
405,India,Uttar Pradesh,Sultanpur,"Calendar Year (Jan - Dec), 2021",8,284.0,7296.0,45.15,43.85,29.86,35.93,30.9,37.13,42.05
406,India,Uttar Pradesh,Unnao,"Calendar Year (Jan - Dec), 2017",8,196.0,4456.0,56.55,49.72,51.78,52.69,33.74,51.37,39.13
407,India,Uttar Pradesh,Unnao,"Calendar Year (Jan - Dec), 2021",8,288.0,7072.0,45.47,47.3,31.51,32.58,29.09,37.66,39.92
408,India,Uttar Pradesh,Varanasi,"Calendar Year (Jan - Dec), 2017",8,200.0,4644.0,34.49,28.2,30.26,26.61,20.77,39.29,13.79
409,India,Uttar Pradesh,Varanasi,"Calendar Year (Jan - Dec), 2021",8,312.0,8312.0,55.56,53.54,37.91,37.18,34.69,47.4,47.06
410,India,Uttar Pradesh,Kasganj,"Calendar Year (Jan - Dec), 2017",8,196.0,3528.0,50.79,39.61,36.57,41.72,27.78,44.5,33.12
411,India,Uttar Pradesh,Kasganj,"Calendar Year (Jan - Dec), 2021",8,304.0,7224.0,39.29,35.76,27.62,28.48,28.0,30.07,29.45
412,India,Uttar Pradesh,Amethi,"Calendar Year (Jan - Dec), 2017",8,204.0,3960.0,54.86,44.66,38.64,41.82,31.55,52.01,30.9
413,India,Uttar Pradesh,Amethi,"Calendar Year (Jan - Dec), 2021",8,276.0,7236.0,47.28,44.64,33.18,38.43,26.43,38.9,45.04
414,India,Uttar Pradesh,Sambhal,"Calendar Year (Jan - Dec), 2017",8,192.0,692.0,37.92,43.90917424605601,10.98,34.1,31.79,39.31,15.03
415,India,Uttar Pradesh,Sambhal,"Calendar Year (Jan - Dec), 2021",8,280.0,7632.0,45.56,49.17,30.66,40.48,33.46,35.41,41.24
416,India,Uttar Pradesh,Shamli,"Calendar Year (Jan - Dec), 2017",8,192.0,2076.0,22.62,30.51,29.84,13.1,22.67,18.81,25.1
417,India,Uttar Pradesh,Shamli,"Calendar Year (Jan - Dec), 2021",8,296.0,7316.0,50.43,45.46,34.84,37.51,33.81,42.15,38.35
418,India,Uttar Pradesh,Hapur,"Calendar Year (Jan - Dec), 2017",8,200.0,3992.0,53.08,41.07,41.4,43.19,30.99,53.79,33.63
419,India,Uttar Pradesh,Hapur,"Calendar Year (Jan - Dec), 2021",8,296.0,7860.0,49.45,43.79,30.81,35.37,29.95,39.13,35.52
420,India,Bihar,Araria,"Calendar Year (Jan - Dec), 2017",8,204.0,4648.0,59.93,47.78,42.79,43.29,33.85,55.57,30.73
421,India,Bihar,Araria,"Calendar Year (Jan - Dec), 2021",8,260.0,6568.0,45.12,54.4,32.47,42.81,30.92,40.57,39.94
422,India,Bihar,Aurangabad,"Calendar Year (Jan - Dec), 2017",8,204.0,4768.0,56.8,40.72,37.72,42.03,28.76,57.35,38.02
423,India,Bihar,Aurangabad,"Calendar Year (Jan - Dec), 2021",8,220.0,5232.0,46.67,55.83,34.25,47.35,34.74,42.85,45.4
424,India,Bihar,Banka,"Calendar Year (Jan - Dec), 2017",8,204.0,4600.0,56.94,36.65,35.17,44.09,27.9,45.78,32.58
425,India,Bihar,Banka,"Calendar Year (Jan - Dec), 2021",8,228.0,4864.0,40.73,49.52,33.38,40.61,29.81,39.23,45.2
426,India,Bihar,Begusarai,"Calendar Year (Jan - Dec), 2017",8,200.0,5228.0,63.46,57.21,50.72,60.06,37.31,63.88,33.84
427,India,Bihar,Begusarai,"Calendar Year (Jan - Dec), 2021",8,240.0,5908.0,51.98,56.46,39.37,52.7,33.92,46.66,44.67
428,India,Bihar,Bhagalpur,"Calendar Year (Jan - Dec), 2017",8,204.0,4836.0,53.84,44.89,38.61,41.77,34.63,49.45,34.63
429,India,Bihar,Bhagalpur,"Calendar Year (Jan - Dec), 2021",8,276.0,6980.0,51.62,54.67,36.48,42.89,32.82,44.42,39.24
430,India,Bihar,Bhojpur,"Calendar Year (Jan - Dec), 2017",8,204.0,4428.0,54.35,32.36,34.04,39.39,23.39,40.89,36.25
431,India,Bihar,Bhojpur,"Calendar Year (Jan - Dec), 2021",8,232.0,5728.0,53.59,58.23,36.98,52.28,39.05,46.78,49.14
432,India,Bihar,Buxar,"Calendar Year (Jan - Dec), 2017",8,204.0,4852.0,54.66,36.87,37.35,47.9,31.17,43.95,34.5
433,India,Bihar,Buxar,"Calendar Year (Jan - Dec), 2021",8,272.0,6164.0,51.61,53.44,35.21,44.68,38.56,47.09,49.29
434,India,Bihar,Darbhanga,"Calendar Year (Jan - Dec), 2017",8,204.0,4552.0,52.47,36.87,37.25,42.44,31.1,42.53,29.04
435,India,Bihar,Darbhanga,"Calendar Year (Jan - Dec), 2021",8,256.0,5728.0,49.46,63.25,40.71,44.42,37.0,44.02,43.26
436,India,Bihar,Gaya,"Calendar Year (Jan - Dec), 2017",8,204.0,5156.0,59.37,38.85,31.68,34.6,30.02,47.46,29.24
437,India,Bihar,Gaya,"Calendar Year (Jan - Dec), 2021",8,228.0,5888.0,49.84,56.32,38.19,43.12,33.91,47.87,46.44
438,India,Bihar,Gopalganj,"Calendar Year (Jan - Dec), 2017",8,204.0,4944.0,61.97,45.13,44.65,56.88,38.28,53.34,31.25
439,India,Bihar,Gopalganj,"Calendar Year (Jan - Dec), 2021",8,240.0,5992.0,47.6,55.68,36.51,44.35,33.19,41.56,43.29
440,India,Bihar,Jamui,"Calendar Year (Jan - Dec), 2017",8,200.0,4432.0,59.74,32.79,38.12,37.18,31.83,43.51,27.12
441,India,Bihar,Jamui,"Calendar Year (Jan - Dec), 2021",8,200.0,4868.0,42.61,49.47,34.6,40.77,30.45,41.21,39.2
442,India,Bihar,Jehanabad,"Calendar Year (Jan - Dec), 2017",8,204.0,4768.0,56.82,47.41,37.19,49.41,38.45,50.67,32.04
443,India,Bihar,Jehanabad,"Calendar Year (Jan - Dec), 2021",8,204.0,5044.0,51.23,62.92,38.72,46.91,36.82,48.96,54.96
444,India,Bihar,Kaimur (Bhabua),"Calendar Year (Jan - Dec), 2017",8,204.0,2508.0,58.49,45.62,43.83,49.28,13.64,50.9,18.18
445,India,Bihar,Kaimur (Bhabua),"Calendar Year (Jan - Dec), 2021",8,204.0,5396.0,49.73,56.23,40.35,45.69,31.94,44.57,50.35
446,India,Bihar,Katihar,"Calendar Year (Jan - Dec), 2017",8,200.0,4448.0,56.85,46.0,37.79,45.5,23.13,52.08,35.23
447,India,Bihar,Katihar,"Calendar Year (Jan - Dec), 2021",8,200.0,5036.0,48.19,54.55,39.23,52.57,32.35,43.8,52.44
448,India,Bihar,Khagaria,"Calendar Year (Jan - Dec), 2017",8,204.0,4880.0,57.46,43.4,41.07,46.15,30.62,52.01,29.32
449,India,Bihar,Khagaria,"Calendar Year (Jan - Dec), 2021",8,216.0,5536.0,42.72,49.83,36.2,46.64,25.73,39.17,39.06
450,India,Bihar,Kishanganj,"Calendar Year (Jan - Dec), 2017",8,200.0,4352.0,53.73,39.93,41.81,38.33,32.25,49.49,31.7
451,India,Bihar,Kishanganj,"Calendar Year (Jan - Dec), 2021",8,244.0,5760.0,44.01,55.43,33.72,42.21,35.28,38.8,44.7
452,India,Bihar,Lakhisarai,"Calendar Year (Jan - Dec), 2017",8,204.0,5172.0,64.27,48.44,43.0,42.61,35.18,59.68,31.64
453,India,Bihar,Lakhisarai,"Calendar Year (Jan - Dec), 2021",8,192.0,4880.0,48.22,52.47,35.03,40.26,30.74,41.9,44.89
454,India,Bihar,Madhepura,"Calendar Year (Jan - Dec), 2017",8,200.0,4324.0,57.18,38.04,41.32,44.87,29.94,52.57,28.6
455,India,Bihar,Madhepura,"Calendar Year (Jan - Dec), 2021",8,192.0,4236.0,43.48,63.98,39.09,45.75,31.54,44.57,44.11
456,India,Bihar,Madhubani,"Calendar Year (Jan - Dec), 2017",8,200.0,4940.0,56.86,39.28,45.77,48.26,29.01,46.89,32.05
457,India,Bihar,Madhubani,"Calendar Year (Jan - Dec), 2021",8,264.0,6688.0,45.74,58.33,37.66,45.91,35.42,40.8,45.77
458,India,Bihar,Munger,"Calendar Year (Jan - Dec), 2017",8,196.0,4440.0,57.93,36.28,39.66,46.67,37.59,46.62,34.53
459,India,Bihar,Munger,"Calendar Year (Jan - Dec), 2021",8,244.0,5924.0,50.79,53.26,34.84,37.47,33.01,41.93,42.37
460,India,Bihar,Muzaffarpur,"Calendar Year (Jan - Dec), 2017",8,204.0,5236.0,57.59,32.87,36.96,38.35,32.38,50.17,31.48
461,India,Bihar,Muzaffarpur,"Calendar Year (Jan - Dec), 2021",8,204.0,5252.0,50.89,57.34,38.28,40.62,31.89,47.19,46.17
462,India,Bihar,Nalanda,"Calendar Year (Jan - Dec), 2017",8,204.0,4728.0,58.74,35.75,37.92,45.69,31.58,47.42,29.2
463,India,Bihar,Nalanda,"Calendar Year (Jan - Dec), 2021",8,288.0,6796.0,54.1,61.12,41.22,56.22,38.74,54.22,56.87
464,India,Bihar,Nawada,"Calendar Year (Jan - Dec), 2017",8,204.0,4184.0,58.23,40.93,41.05,41.49,30.68,54.66,35.98
465,India,Bihar,Nawada,"Calendar Year (Jan - Dec), 2021",8,192.0,4680.0,46.79,63.19,33.16,44.82,34.5,41.39,41.52
466,India,Bihar,Pashchim Champaran,"Calendar Year (Jan - Dec), 2017",8,204.0,5000.0,57.1,44.99,43.05,47.2,37.36,51.71,34.3
467,India,Bihar,Pashchim Champaran,"Calendar Year (Jan - Dec), 2021",8,272.0,7084.0,41.59,49.22,34.06,39.61,30.59,41.86,37.45
468,India,Bihar,Patna,"Calendar Year (Jan - Dec), 2017",8,204.0,4736.0,62.78,48.34,41.77,53.38,32.46,55.25,42.41
469,India,Bihar,Patna,"Calendar Year (Jan - Dec), 2021",8,296.0,7564.0,56.74,56.11,41.24,45.22,35.15,51.89,48.91
470,India,Bihar,Purbi Champaran,"Calendar Year (Jan - Dec), 2017",8,188.0,4320.0,55.67,42.61,43.53,38.98,38.22,44.15,31.7
471,India,Bihar,Purbi Champaran,"Calendar Year (Jan - Dec), 2021",8,216.0,5160.0,48.17,63.32,37.48,50.47,38.58,46.33,44.96
472,India,Bihar,Purnia,"Calendar Year (Jan - Dec), 2017",8,204.0,4180.0,52.54,32.81,36.42,49.57,33.96,50.51,34.51
473,India,Bihar,Purnia,"Calendar Year (Jan - Dec), 2021",8,212.0,5500.0,45.54,58.03,34.25,44.55,35.32,39.08,42.39
474,India,Bihar,Rohtas,"Calendar Year (Jan - Dec), 2017",8,204.0,4384.0,58.45,37.64,40.78,49.36,37.18,51.01,31.05
475,India,Bihar,Rohtas,"Calendar Year (Jan - Dec), 2021",8,280.0,6440.0,50.03,52.68,34.7,41.84,31.62,44.42,44.29
476,India,Bihar,Saharsa,"Calendar Year (Jan - Dec), 2017",8,204.0,4540.0,58.69,45.45,43.68,46.78,27.69,51.9,27.18
477,India,Bihar,Saharsa,"Calendar Year (Jan - Dec), 2021",8,204.0,5156.0,49.01,56.5,39.68,41.52,40.13,43.6,45.05
478,India,Bihar,Samastipur,"Calendar Year (Jan - Dec), 2017",8,204.0,5072.0,55.67,44.08,37.64,40.3,30.03,50.12,29.39
479,India,Bihar,Samastipur,"Calendar Year (Jan - Dec), 2021",8,204.0,5580.0,47.86,59.16,37.82,45.26,32.66,44.53,37.56
480,India,Bihar,Saran,"Calendar Year (Jan - Dec), 2017",8,200.0,4832.0,58.96,41.56,41.17,37.09,39.24,45.9,33.94
481,India,Bihar,Saran,"Calendar Year (Jan - Dec), 2021",8,256.0,6480.0,50.94,55.96,38.61,41.63,35.49,47.38,41.93
482,India,Bihar,Sheikhpura,"Calendar Year (Jan - Dec), 2017",8,204.0,4560.0,56.01,42.96,37.84,39.39,31.15,48.82,31.68
483,India,Bihar,Sheikhpura,"Calendar Year (Jan - Dec), 2021",8,180.0,4568.0,45.37,49.48,30.47,39.45,28.04,42.49,36.74
484,India,Bihar,Sheohar,"Calendar Year (Jan - Dec), 2017",8,196.0,4900.0,60.53,54.66,46.13,51.76,42.95,49.53,23.88
485,India,Bihar,Sheohar,"Calendar Year (Jan - Dec), 2021",8,176.0,4144.0,43.9,50.45,35.87,35.87,29.3,44.41,35.25
486,India,Bihar,Sitamarhi,"Calendar Year (Jan - Dec), 2017",8,200.0,4688.0,58.47,52.31,41.21,40.53,36.29,48.29,29.81
487,India,Bihar,Sitamarhi,"Calendar Year (Jan - Dec), 2021",8,264.0,6576.0,49.47,62.11,42.82,46.45,36.74,49.85,44.04
488,India,Bihar,Siwan,"Calendar Year (Jan - Dec), 2017",8,204.0,5224.0,52.57,34.74,38.71,36.98,28.94,47.52,31.48
489,India,Bihar,Siwan,"Calendar Year (Jan - Dec), 2021",8,228.0,6096.0,49.62,51.22,39.44,43.74,33.74,45.89,46.79
490,India,Bihar,Supaul,"Calendar Year (Jan - Dec), 2017",8,204.0,4920.0,60.92,53.64,49.84,55.37,43.61,49.55,30.35
491,India,Bihar,Supaul,"Calendar Year (Jan - Dec), 2021",8,280.0,6412.0,45.88,59.77,35.68,34.22,33.22,46.65,38.15
492,India,Bihar,Vaishali,"Calendar Year (Jan - Dec), 2017",8,204.0,5036.0,54.22,34.61,35.95,33.52,25.0,49.9,31.33
493,India,Bihar,Vaishali,"Calendar Year (Jan - Dec), 2021",8,212.0,5176.0,49.06,53.63,36.65,40.68,31.63,42.26,42.01
494,India,Bihar,Arwal,"Calendar Year (Jan - Dec), 2017",8,204.0,4464.0,58.25,43.22,42.12,55.2,39.12,60.78,37.72
495,India,Bihar,Arwal,"Calendar Year (Jan - Dec), 2021",8,164.0,3912.0,52.85,74.54,44.35,62.53,40.07,49.58,64.67
496,India,Sikkim,East District,"Calendar Year (Jan - Dec), 2017",8,368.0,8140.0,50.84,28.93,37.78,49.39,24.59,56.24,20.99
497,India,Sikkim,East District,"Calendar Year (Jan - Dec), 2021",8,212.0,4832.0,60.85,45.8,41.63,37.43,26.42,49.95,38.99
498,India,Sikkim,North District,"Calendar Year (Jan - Dec), 2017",8,108.0,1876.0,52.38,33.77,37.43,54.8,19.33,58.97,17.65
499,India,Sikkim,North District,"Calendar Year (Jan - Dec), 2021",8,116.0,1628.0,54.38,39.69,31.7,40.13,25.4,41.93,44.0
500,India,Sikkim,South District,"Calendar Year (Jan - Dec), 2017",8,192.0,4308.0,49.74,29.03,35.57,47.08,23.2,57.9,25.05
501,India,Sikkim,South District,"Calendar Year (Jan - Dec), 2021",8,184.0,3144.0,52.02,44.07,36.89,36.98,23.27,42.78,35.2
502,India,Sikkim,West District,"Calendar Year (Jan - Dec), 2017",8,252.0,5608.0,50.7,25.22,36.54,48.36,21.09,55.95,18.72
503,India,Sikkim,West District,"Calendar Year (Jan - Dec), 2021",8,216.0,3472.0,50.28,37.64,35.22,34.82,24.02,41.65,37.91
504,India,Arunachal Pradesh,Changlang,"Calendar Year (Jan - Dec), 2017",8,200.0,4816.0,37.31,26.99,33.52,28.57,29.67,36.65,14.5
505,India,Arunachal Pradesh,Changlang,"Calendar Year (Jan - Dec), 2021",8,188.0,4784.0,45.36,45.16,34.92,29.05,21.47,45.01,34.46
506,India,Arunachal Pradesh,Dibang Valley,"Calendar Year (Jan - Dec), 2017",8,12.0,236.0,42.26,51.85,45.35,38.98,6.25,50.44,18.75
507,India,Arunachal Pradesh,Dibang Valley,"Calendar Year (Jan - Dec), 2021",8,12.0,176.0,60.9,70.36,31.02,27.77,38.78,50.19,37.99
508,India,Arunachal Pradesh,East Kameng,"Calendar Year (Jan - Dec), 2017",8,128.63113483288856,1885.461634261024,47.58,35.59,42.24,39.68,28.26,45.84,30.07
509,India,Arunachal Pradesh,East Kameng,"Calendar Year (Jan - Dec), 2021",8,128.0,2212.0,48.83,42.2,36.75,33.45,23.0,43.17,31.5
510,India,Arunachal Pradesh,East Siang,"Calendar Year (Jan - Dec), 2017",8,167.1058609722853,3148.2744207178557,40.64,23.49,35.14,34.08,24.48,42.78,16.74
511,India,Arunachal Pradesh,East Siang,"Calendar Year (Jan - Dec), 2021",8,192.0,4200.0,64.35,52.15,44.74,43.67,34.94,57.11,47.07
512,India,Arunachal Pradesh,Kurung Kumey,"Calendar Year (Jan - Dec), 2017",8,92.0,1400.0,49.12,39.13,33.76,66.86,40.0,52.07,25.11
513,India,Arunachal Pradesh,Kurung Kumey,"Calendar Year (Jan - Dec), 2021",8,68.0,1300.0,47.03,33.07,33.8,33.05,24.67,45.7,36.62
514,India,Arunachal Pradesh,Lohit,"Calendar Year (Jan - Dec), 2017",8,120.0,2340.0,40.54,24.83,41.37,32.99,22.37,40.17,15.25
515,India,Arunachal Pradesh,Lohit,"Calendar Year (Jan - Dec), 2021",8,124.0,2680.0,49.25,40.53,38.77,28.79,26.97,50.7,39.11
516,India,Arunachal Pradesh,Lower Dibang Valley,"Calendar Year (Jan - Dec), 2017",8,120.0,2416.0,38.8,31.46,34.0,34.6,23.51,42.72,16.56
517,India,Arunachal Pradesh,Lower Dibang Valley,"Calendar Year (Jan - Dec), 2021",8,120.0,2460.0,59.53,40.15,41.23,34.29,30.93,52.44,38.58
518,India,Arunachal Pradesh,Lower Subansiri,"Calendar Year (Jan - Dec), 2017",8,124.02929061784896,1458.9761291099603,52.3,28.5,42.97,41.39,26.67,52.38,27.5
519,India,Arunachal Pradesh,Lower Subansiri,"Calendar Year (Jan - Dec), 2021",8,152.0,2648.0,64.87,56.68,46.81,31.95,33.56,57.16,44.95
520,India,Arunachal Pradesh,Papum Pare,"Calendar Year (Jan - Dec), 2017",8,212.0,3408.0,50.74,31.44,40.08,38.97,26.57,45.58,24.48
521,India,Arunachal Pradesh,Papum Pare,"Calendar Year (Jan - Dec), 2021",8,388.0,8156.0,60.575,47.295,41.745,36.495,33.385,54.49,39.375
522,India,Arunachal Pradesh,Tawang,"Calendar Year (Jan - Dec), 2017",8,116.0,1232.0,52.79,27.33,40.83,40.26,17.72,61.35,22.78
523,India,Arunachal Pradesh,Tawang,"Calendar Year (Jan - Dec), 2021",8,136.0,1724.0,60.3,38.63,40.73,34.48,33.33,52.88,28.89
524,India,Arunachal Pradesh,Tirap,"Calendar Year (Jan - Dec), 2017",8,148.0,2280.0,49.22,39.34,41.69,43.33,26.17,48.2,16.11
525,India,Arunachal Pradesh,Tirap,"Calendar Year (Jan - Dec), 2021",8,140.0,2808.0,53.32,47.96,42.1,36.04,27.51,43.95,37.78
526,India,Arunachal Pradesh,Upper Siang,"Calendar Year (Jan - Dec), 2017",8,88.0,1540.0,46.75,28.42,33.57,43.12,24.62,48.76,18.46
527,India,Arunachal Pradesh,Upper Siang,"Calendar Year (Jan - Dec), 2021",8,108.0,1868.0,51.64,40.51,37.69,37.0,26.61,47.47,38.03
528,India,Arunachal Pradesh,Upper Subansiri,"Calendar Year (Jan - Dec), 2017",8,142.42833860607803,1827.32528041415,44.89,34.49,38.43,36.82,29.43,48.26,17.09
529,India,Arunachal Pradesh,Upper Subansiri,"Calendar Year (Jan - Dec), 2021",8,136.0,2704.0,50.5,45.34,37.92,31.06,28.98,44.64,29.14
530,India,Arunachal Pradesh,West Kameng,"Calendar Year (Jan - Dec), 2017",8,184.0,3088.0,37.6,25.53,32.12,36.53,24.74,44.78,13.78
531,India,Arunachal Pradesh,West Kameng,"Calendar Year (Jan - Dec), 2021",8,212.0,3964.0,52.04,47.07,35.59,30.92,28.96,44.84,33.24
532,India,Arunachal Pradesh,West Siang,"Calendar Year (Jan - Dec), 2017",8,78.80414752880992,1518.2932423884045,49.32,29.47,40.22,43.83,28.21,53.38,20.87
533,India,Arunachal Pradesh,West Siang,"Calendar Year (Jan - Dec), 2021",8,132.0,2464.0,57.69,45.12,37.77,35.91,23.49,50.59,29.53
534,India,Arunachal Pradesh,Anjaw,"Calendar Year (Jan - Dec), 2017",8,68.0,824.0,41.78,34.65,39.74,39.81,19.05,44.12,16.19
535,India,Arunachal Pradesh,Anjaw,"Calendar Year (Jan - Dec), 2021",8,72.0,772.0,47.79,41.18,41.67,26.83,29.85,50.99,43.94
536,India,Arunachal Pradesh,Longding,"Calendar Year (Jan - Dec), 2017",8,52.0,1284.0,45.21,48.17,49.07,50.16,33.76,51.77,36.31
537,India,Arunachal Pradesh,Longding,"Calendar Year (Jan - Dec), 2021",8,104.0,2612.0,42.23,38.64,30.68,21.35,27.96,35.91,21.98
538,India,Arunachal Pradesh,Kra Daadi,"Calendar Year (Jan - Dec), 2017",8,152.0,1160.0,49.7,44.2,45.79,43.79,30.26,47.53,4.61
539,India,Arunachal Pradesh,Kra Daadi,"Calendar Year (Jan - Dec), 2021",8,120.0,1344.0,54.75,43.85,37.45,40.16,25.42,39.75,42.99
